iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1015.5180156708144,0.2896766844002311,5.623738706869857e-11,2.2659409046173096,0.35868934926789553,0.804852940750939,0.3387597249842054,0.12281435093165567,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,NelderMead_nAGQ1,1015.5009780387137,0.2903932471247877,0.003951494675129087,5.212092876434326,0.3646362026217673,0.8183591130759976,0.3448881375137712,0.28395447210547814,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,Bobyqa_nAGQ0,1015.5180156708144,0.2896766844002311,5.623738706869857e-11,2.223052978515625,0.35868934926789553,0.804852940750939,0.3387597249842054,0.12281435093165567,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,Bobyqa_nAGQ1,1015.500967774672,0.2904025192333857,0.0039540532998584635,3.842755079269409,0.3645838026417682,0.8182569841428896,0.34484520373946764,0.283939130363081,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,nloptwrap_nAGQ0,1016.2483587324696,0.28397519418302236,8.865496282136783e-11,0.5465009212493896,0.3559098908750192,0.7954159235465055,0.33218147654539903,0.1226522600581024,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,nloptwrap_nAGQ1,1016.2477618959817,0.29287235125218725,0.005128341614032375,1.1828689575195312,0.3559098908750192,0.7954159235465055,0.33836842040402865,0.2841928539163955,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,R: LRT,0.0,0.0,0.005921142192652668,0.5345709323883057,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06083393096923828
1,30,10,JuliaAIC_NeldMeader_AGP0,1015.5179270637959,0.28967740867316866,5.6238022528634696e-11,5.551,0.35869024542426053,0.8048581925916041,0.338761080066459,0.1228151839299552,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
1,30,10,JuliaAIC_bobyqa_AGP0,1015.517927114251,0.2897475657931918,5.57694334355635e-11,0.621,0.3586214325271992,0.817252153511995,0.33867900457057865,0.12363505647730473,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
1,30,10,JuliaAIC_NeldMeader_AGP1,1015.5093735252965,0.28965307792320794,3.838073718006341e-11,12.922,0.25721194267990855,0.815537047443513,0.33724977160587744,0.12328951698880562,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
1,30,10,JuliaAIC_bobyqa_AGP1,1016.3908361369994,0.44565729120252057,3.720227845705762e-11,4.242,0.3587388481509484,0.8050587718288207,0.3388562695492295,0.12282238629605689,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
1,30,10,JuliaLRT_Fast,0.0,0.0,0.004186992694595909,5.05,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
1,30,10,JuliaLRT_Slow,0.0,0.0,0.004896892744900192,5.301,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06083393096923828
2,30,10,NelderMead_nAGQ0,1040.1619045531775,0.6382034475252303,0.15677842154193197,2.3399529457092285,0.07686898553417344,0.15303393576946941,0.16347723885282642,0.10807557383103933,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,NelderMead_nAGQ1,1040.150181196185,0.6476165954938464,0.5429354716040478,5.241786003112793,0.07508433980870516,0.15502887770707058,0.1642711057003865,0.25482244180165653,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,Bobyqa_nAGQ0,1040.1619045531775,0.6382034475252303,0.15677842154193197,2.327224016189575,0.07686898553417344,0.15303393576946941,0.16347723885282642,0.10807557383103933,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,Bobyqa_nAGQ1,1040.150174882169,0.6476185987160159,0.5433602998703845,5.03850793838501,0.07507852002096693,0.15486380080013054,0.16425937465144114,0.2548194017898456,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,nloptwrap_nAGQ0,1040.5603827894001,0.6355589607418576,0.13976199490891986,0.4866809844970703,0.0764717216268461,0.15851455521418262,0.16136093669361457,0.1073453822215108,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,nloptwrap_nAGQ1,1040.5514666416916,0.6297197514618473,0.5399681467479207,1.4971439838409424,0.07862647025424248,0.1586547569615843,0.16308440180849176,0.2588755289364069,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,R: LRT,0.0,0.0,0.6989913584728693,0.5645229816436768,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016921043395996094
2,30,10,JuliaAIC_NeldMeader_AGP0,1040.1618040205713,0.6382012278897893,0.15680670569466604,3.442,0.07686912018073055,0.15302378961849186,0.16347644498022335,0.1080757811415921,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
2,30,10,JuliaAIC_bobyqa_AGP0,1040.161805836994,0.6382044885605018,0.15694572955021943,0.926,0.07512346959033873,0.15488788455136013,0.1636108407826962,0.1081711478739523,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
