iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,987.6652875432723,0.09072821636478236,0.41620195068405913,1.5981168746948242,0.3351789216730664,-0.1416408380470666,0.1981467844517028,0.17421395277512902,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,NelderMead_nAGQ1,987.6554703619452,0.09244164708796458,0.6305040967273445,4.474375009536743,0.34013860533422957,-0.14512232934792152,0.2021438403392113,0.3016986792909368,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,Bobyqa_nAGQ0,987.6652875432723,0.09072821636478236,0.41620195068405913,1.5346579551696777,0.3351789216730664,-0.1416408380470666,0.1981467844517028,0.17421395277512902,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,Bobyqa_nAGQ1,987.6554098712709,0.09245168051664682,0.6280907116903962,3.1184499263763428,0.3404059435971466,-0.14615028766914684,0.20230894672640523,0.3017041288694968,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,nloptwrap_nAGQ0,987.6654493978259,0.09091379502920496,0.4118053604452457,0.6712350845336914,0.33540386931254457,-0.14299105406184617,0.19839374268053248,0.17422620014960896,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,nloptwrap_nAGQ1,987.6653996599007,0.0968089582255403,0.6348325433816355,1.1695539951324463,0.33540386931254457,-0.14299105406184617,0.20198668797450436,0.30107432155502445,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,R: LRT,0.0,0.0,0.6322714558917205,0.5083239078521729,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.06981301307678223
1,30,10,JuliaAIC_NeldMeader_AGP0,987.6652667756662,0.09072886993378373,0.416195702529595,10.346,0.3351788596816479,-0.1416429938561454,0.19814714903542582,0.17421426912710045,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
1,30,10,JuliaAIC_bobyqa_AGP0,987.6652680628894,0.09072917991820066,0.41607619487506153,0.545,0.3404709690069348,-0.14626113894627707,0.19831207705145043,0.1744183232396424,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
1,30,10,JuliaAIC_NeldMeader_AGP1,987.6553656953445,0.08600761516229953,0.40171333670336556,16.386,0.3402546584713212,-0.1461181215183152,0.1982883998363384,0.17441643788866867,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
1,30,10,JuliaAIC_bobyqa_AGP1,987.6553670553578,0.08616964449511308,0.40216870779918934,4.203,0.33517927639399847,-0.14167922184536813,0.1981475856843973,0.17421415889577843,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
1,30,10,JuliaLRT_Fast,0.0,0.0,0.6321971037217168,4.856,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
1,30,10,JuliaLRT_Slow,0.0,0.0,0.6316629182876013,2.058,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.06981301307678223
2,30,10,NelderMead_nAGQ0,1027.856581373598,0.05336532256439692,0.0027214827294749114,2.3153021335601807,0.4074997950024189,-0.22423408826848734,0.21092636374593185,0.07480548179791313,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,NelderMead_nAGQ1,1027.8154213198034,0.049328113927776696,0.236022396696446,7.418921947479248,0.41899909933960755,-0.2292165718775581,0.21315031866982048,0.1934337497551448,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,Bobyqa_nAGQ0,1027.856581373598,0.05336532256439692,0.0027214827294749114,2.3093178272247314,0.4074997950024189,-0.22423408826848734,0.21092636374593185,0.07480548179791313,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,Bobyqa_nAGQ1,1027.8154138906118,0.049353872179839935,0.23577556323634796,5.95647406578064,0.419044200952147,-0.22935353087580654,0.21319742963248606,0.19344737732569628,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,nloptwrap_nAGQ0,1027.8565915145166,0.05331414193200347,0.0027218467230961884,0.6332910060882568,0.40748884569140476,-0.22422610173724658,0.21087542125845082,0.07480383471867767,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,nloptwrap_nAGQ1,1027.8166441905094,0.04672605526402423,0.24528879130523165,1.3263969421386719,0.41971249514727016,-0.224626974983321,0.21104072498892085,0.19333249056739826,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,R: LRT,0.0,0.0,0.2400888238651212,0.8801088333129883,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
2,30,10,JuliaAIC_NeldMeader_AGP0,1029.4128263820508,0.05969910358250586,0.00748079366578693,5.272,0.3873481454468745,-0.20158690241423327,0.20570697090776516,0.0753695311734753,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
2,30,10,JuliaAIC_bobyqa_AGP0,1027.855318513347,0.053396284546258284,0.002717400439276984,1.277,0.33287852717272404,-0.2531223252780765,0.23904321986650398,0.07672737697551887,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
2,30,10,JuliaAIC_NeldMeader_AGP1,1028.7031694494624,0.1637573151702537,0.0009703572896280497,18.7,0.32782882757030074,-0.04382604798625925,0.16330682151376355,0.0724686744188023,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
2,30,10,JuliaAIC_bobyqa_AGP1,1029.7516907536176,0.04470271487083095,0.5453394612537141,10.041,0.40749874405651315,-0.22428249118767965,0.21095320159951078,0.07481021084202016,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
2,30,10,JuliaLRT_Fast,0.0,0.0,0.22895897207800042,1.324,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
2,30,10,JuliaLRT_Slow,0.0,0.0,NaN,5.504,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
3,30,10,NelderMead_nAGQ0,976.8700861646525,0.0025007465384037863,0.3719540323634401,1.799130916595459,0.5315814608595275,-0.11078794586539202,0.17583106540687957,0.12408778032300388,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
