n,ConditionsOfInterest,Standard1,Standard2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.71,0.14,0.49,0.12,16.23238142
12,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.8,0.19,0.69,0.18,17.42707928
14,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.82,0.21,0.75,0.22,20.54280935
16,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.88,0.27,0.81,0.34,24.65003255
18,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.9,0.31,0.87,0.29,26.72644433
20,2,5,6,40,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.95,0.27,0.87,0.3,29.48036689
10,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.68,0.05,0.54,0.09,14.51503313
12,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.72,0.08,0.61,0.07,17.25442607
14,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.91,0.1,0.82,0.1,20.83473227
16,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.92,0.06,0.81,0.09,23.72475865
18,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.94,0.17,0.91,0.15,27.30139115
20,2,5,6,40,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.97,0.04,0.87,0.07,31.05351328
10,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.58,0.04,0.58,0.05,14.473279
12,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.65,0.02,0.56,0.03,17.61046551
14,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.79,0.03,0.7,0.03,20.89005623
16,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.87,0.04,0.74,0.02,23.8404975
18,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.92,0.05,0.8,0.04,27.57601597
20,2,5,6,40,-0.025,0,0,0.15,0.1,0.2,0.2,0.94,0.04,0.89,0.03,30.42139617
10,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.63,0.03,0.56,0.04,14.58750858
12,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.69,0.08,0.62,0.06,17.7099962
14,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.68,0.1,0.63,0.11,20.67876254
16,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.74,0.16,0.66,0.12,23.71030723
18,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.83,0.1,0.78,0.11,26.70754227
20,2,5,6,40,-0.025,0.05,0,0.15,0.1,0.2,0.2,0.87,0.13,0.88,0.11,30.12589085
10,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.48,0.14,0.55,0.16,14.81295878
12,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.62,0.19,0.58,0.24,17.59610982
14,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.63,0.18,0.62,0.2,20.5095188
16,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.69,0.22,0.69,0.24,23.58105422
18,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.71,0.28,0.8,0.3,27.0761016
20,2,5,6,40,-0.025,0.1,0,0.15,0.1,0.2,0.2,0.77,0.35,0.76,0.32,30.4687741
10,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.14,0.15,0.08,0.18,14.44123389
12,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.11,0.16,0.12,0.2,18.0351013
14,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.2,0.28,0.13,0.28,21.01591903
16,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.25,0.2,0.2,0.27,24.19599628
18,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.38,0.34,0.24,0.35,27.446579
20,2,5,6,40,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.36,0.24,0.26,0.28,30.49394173
10,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.19,0.11,0.11,0.08,15.10142947
12,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.16,0.09,0.11,0.07,17.66422072
14,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.22,0.07,0.2,0.12,20.98617597
16,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.32,0.06,0.23,0.06,23.58192575
18,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.41,0.07,0.26,0.04,27.24539545
20,2,5,6,40,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.35,0.09,0.24,0.12,30.7039635
10,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.2,0.05,0.18,0.03,14.6349233
12,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.18,0.04,0.15,0.07,17.81029067
14,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.33,0.06,0.26,0.03,20.72687345
16,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.26,0.02,0.17,0.03,23.81023643
18,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.32,0.04,0.24,0.06,27.97640448
20,2,5,6,40,-0.0125,0,0,0.15,0.1,0.2,0.2,0.39,0.04,0.34,0.04,30.57877555
10,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.14,0.08,0.11,0.08,14.66146633
12,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.15,0.05,0.16,0.05,18.1078727
14,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.19,0.11,0.15,0.06,21.13974363
16,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.25,0.12,0.21,0.06,24.11327647
18,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.34,0.06,0.17,0.06,27.25028143
20,2,5,6,40,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.28,0.12,0.21,0.14,30.51840265
10,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.11,0.11,0.14,0.11,14.59223785
12,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.14,0.2,0.11,0.2,17.70425183
14,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.11,0.14,0.11,0.22,20.65616435
16,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.17,0.18,0.24,0.2,24.38911187
18,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.26,0.27,0.23,0.22,27.24323112
20,2,5,6,40,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.27,0.27,0.21,0.3,30.74741644
10,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0.01,0.14,0.01,0.13,14.78809127
12,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0.01,0.17,0,0.17,17.81823752
14,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0,0.23,0,0.22,20.94254584
16,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0.03,0.27,0,0.32,24.50820562
18,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0.04,0.29,0.02,0.29,27.14172987
20,2,5,6,40,0,-0.1,0,0.15,0.1,0.2,0.2,0.02,0.26,0.01,0.31,30.29903777
10,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0,0.06,0.01,0.09,14.7301311
12,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0.01,0.08,0.02,0.07,18.1019167
14,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0,0.1,0,0.11,20.95682538
16,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0.01,0.09,0.02,0.09,23.74547971
18,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0.01,0.16,0,0.15,27.0814671
20,2,5,6,40,0,-0.05,0,0.15,0.1,0.2,0.2,0,0.04,0,0.09,31.11710973
10,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0.01,0.05,0.03,0.05,14.49559523
12,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0.02,0.02,0.04,0.02,17.49786532
14,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0.02,0.06,0.01,0.04,21.52246441
16,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0,0.05,0.01,0.02,24.19137158
18,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0.01,0.04,0.01,0.04,28.43775411
20,2,5,6,40,0,0,0,0.15,0.1,0.2,0.2,0.03,0.03,0.03,0.02,31.02297262
10,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0,0.02,0,0.04,14.79422538
12,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0.01,0.08,0.01,0.07,17.93024878
14,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0.02,0.08,0,0.08,20.89822361
16,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0.01,0.16,0,0.14,23.74773342
18,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0,0.11,0.02,0.1,27.31795938
20,2,5,6,40,0,0.05,0,0.15,0.1,0.2,0.2,0.01,0.13,0.02,0.13,31.12606535
10,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.01,0.13,0,0.15,14.80704784
12,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.18,0.01,0.23,18.59435947
14,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.18,0.01,0.2,20.84577135
16,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.2,0.02,0.23,23.56612918
18,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.01,0.29,0.02,0.31,26.97431665
20,2,5,6,40,0,0.1,0,0.15,0.1,0.2,0.2,0.04,0.33,0.01,0.31,30.29465277
10,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.11,0.16,0.09,0.18,15.06319525
12,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.14,0.16,0.14,0.2,17.8456757
14,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.3,0.27,0.27,0.23,20.48953777
16,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.28,0.21,0.2,0.24,24.21965185
18,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.29,0.33,0.24,0.34,27.31058237
20,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.42,0.26,0.29,0.31,30.31003538
